CHEM F336,NANOCHEMISTRY,3,1,4,1,BALAJI GOPALAN,M W F,3,
,,,,,,,,,
,,,,,,Ankita Singh,,,
,,,,,,,,,
,Practical,,,,,Balaji Gopalan,Th,9 10,
,,,,,,,,,
,,,,,,Ankita Singh,,,
,,,,,,,,,
,,,,,,Dinabandhu Patra,,,
,,,,,,,,,
CHEM F342,ORGANIC CHEMISTRY IV,3,-,3,1,ANUPAM BHATTACHARYA,M W F,9,
,,,,,,,,,
,Tutorial,,,,,Anupam Bhattacharya,T,9,
,,,,,,,,,
,,,,,,Adarash Kumar Shukla,,,
,,,,,,,,,
,,,,,,Shouvik Bhuin,,,
,,,,,,,,,
CHEM F366,LABORATORY PROJECT,-,-,3,1,DURBA ROY,,,
,,,,,,,,,
CHEM F367,LABORATORY PROJECT,-,-,3,1,DURBA ROY,,,
,,,,,,,,,
"COMCOD",COURSE NO.,COURSE TITLE,"CREDITL   P   U","S EC","INSTRUCTOR-IN-CHARGE/Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
CHEM F376,DESIGN PROJECT,-,-,3,1,AMIT NAG,,,
,,,,,,,,,
CHEM F377,DESIGN PROJECT,-,-,3,1,AMIT NAG,,,
,,,,,,,,,
CHEM F412,PHOTOCHEM & LASER SPECTR,3,-,3,1,AMIT NAG,M W F,3,
,,,,,,,,,
,,,,,,Kaja Sravani,,,
,,,,,,,,,
CHEM G551,ADV ORGANIC CHEMISTRY,-,-,5,1,KVG CHANDRASEKHAR,T Th S,5,
,,,,,,,,,
,,,,,,D Ramaiah,,,
,,,,,,,,,
CHEM G552,ADVANCED INORGANIC CHEMISTRY,-,-,5,1,R KRISHNAN,M W F,8,
,,,,,,,,,
,,,,,,Soumitra Payra,,,
,,,,,,,,,
CHEM G554,PHY METHODS IN CHEMISTRY,-,-,5,1,HIMANSHU AGGARWAL,M W F,5,
,,,,,,,,,
,,,,,,T Leelasree,,,
,,,,,,,,,
,,,,,,Tanmay Chatterjee,,,
,,,,,,,,,
CS F111,COMPUTER PROGRAMMING,3,1,4,3,Lov Kumar,M W F,6,
,,,,,,,,,
,Practical,,,,10,Lov Kumar,T,6 7,
,,,,,,,,,
CS F211,DATA STRUCTURES & ALGO,3,1,4,1,CHITTARANJAN HOTA,T Th S,5,
,,,,,,,,,
,Practical,,,,1,Mrityunjay Singh,M,2 3,
,,,,,,,,,
,,,,,,K Sai Anirudh,,,
,,,,,,,,,
,,,,,2,Mrityunjay Singh,F,5 6,
,,,,,,,,,
,,,,,,Rashmi Sahay,,,
,,,,,,,,,
CS F213,OBJECT ORIENTED PROG,3,1,4,1,SUBHRAKANTA PANDA,M W F,3,
,,,,,,,,,
,Practical,,,,1,D V N Siva Kumar,T,2 3,
,,,,,,,,,
,,,,,,Deepa Kumari,,,
,,,,,,,,,
,,,,,2,Manik Gupta,T,7 8,
,,,,,,,,,
,,,,,,Deepa Kumari,,,
,,,,,,,,,
,,,,,3,Rajita BSAS,W,7 8,
,,,,,,,,,
,,,,,,Chavali Lalitha,,,
,,,,,,,,,
,,,,,4,Rajita BSAS,F,7 8,
,,,,,,,,,
"COMCOD",COURSE NO.,COURSE TITLE,"CREDITL   P   U","S EC","INSTRUCTOR-IN-CHARGE/Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,,,,,,Ramisetty Kavya,,,
,,,,,,,,,
,,,,,5,D V N Siva Kumar,M,7 8,
